schedule_type,departure_station,departure_time,destination
weekday,Nakamozu,5:04:00,Minoh-Kayano
weekday,Nakamozu,5:14:00,Esaka
weekday,Nakamozu,5:24:00,Minoh-Kayano
weekday,Nakamozu,5:34:00,Minoh-Kayano
weekday,Nakamozu,5:43:00,Minoh-Kayano
weekday,Nakamozu,5:52:00,Minoh-Kayano
weekday,Nakamozu,6:02:00,Minoh-Kayano
weekday,Nakamozu,6:10:00,Minoh-Kayano
weekday,Nakamozu,6:17:00,Minoh-Kayano
weekday,Nakamozu,6:25:00,Minoh-Kayano
weekday,Nakamozu,6:34:00,Minoh-Kayano
weekday,Nakamozu,6:37:00,Minoh-Kayano
weekday,Nakamozu,6:42:00,Minoh-Kayano
weekday,Nakamozu,6:46:00,Minoh-Kayano
weekday,Nakamozu,6:51:00,Minoh-Kayano
weekday,Nakamozu,6:55:00,Minoh-Kayano
weekday,Nakamozu,7:00:00,Minoh-Kayano
weekday,Nakamozu,7:04:00,Minoh-Kayano
weekday,Nakamozu,7:09:00,Minoh-Kayano
weekday,Nakamozu,7:13:00,Minoh-Kayano
weekday,Nakamozu,7:18:00,Minoh-Kayano
weekday,Nakamozu,7:22:00,Minoh-Kayano
weekday,Nakamozu,7:27:00,Minoh-Kayano
weekday,Nakamozu,7:31:00,Minoh-Kayano
weekday,Nakamozu,7:36:00,Minoh-Kayano
weekday,Nakamozu,7:40:00,Minoh-Kayano
weekday,Nakamozu,7:45:00,Minoh-Kayano
weekday,Nakamozu,7:49:00,Minoh-Kayano
weekday,Nakamozu,7:54:00,Minoh-Kayano
weekday,Nakamozu,7:58:00,Minoh-Kayano
weekday,Nakamozu,8:03:00,Minoh-Kayano
weekday,Nakamozu,8:07:00,Minoh-Kayano
weekday,Nakamozu,8:12:00,Minoh-Kayano
weekday,Nakamozu,8:16:00,Minoh-Kayano
weekday,Nakamozu,8:21:00,Minoh-Kayano
weekday,Nakamozu,8:25:00,Minoh-Kayano
weekday,Nakamozu,8:30:00,Minoh-Kayano
weekday,Nakamozu,8:35:00,Minoh-Kayano
weekday,Nakamozu,8:40:00,Minoh-Kayano
weekday,Nakamozu,8:44:00,Minoh-Kayano
weekday,Nakamozu,8:53:00,Minoh-Kayano
weekday,Nakamozu,8:57:00,Nakatsu
weekday,Nakamozu,9:02:00,Minoh-Kayano
weekday,Nakamozu,9:09:00,Minoh-Kayano
weekday,Nakamozu,9:14:00,Minoh-Kayano
weekday,Nakamozu,9:18:00,Nakatsu
weekday,Nakamozu,9:23:00,Minoh-Kayano
weekday,Nakamozu,9:32:00,Minoh-Kayano
weekday,Nakamozu,9:36:00,Shin-Osaka
weekday,Nakamozu,9:40:00,Minoh-Kayano
weekday,Nakamozu,9:47:00,Minoh-Kayano
weekday,Nakamozu,9:55:00,Minoh-Kayano
weekday,Nakamozu,10:03:00,Minoh-Kayano
weekday,Nakamozu,10:11:00,Minoh-Kayano
weekday,Nakamozu,10:15:00,Shin-Osaka
weekday,Nakamozu,10:19:00,Minoh-Kayano
weekday,Nakamozu,10:27:00,Minoh-Kayano
weekday,Nakamozu,10:35:00,Minoh-Kayano
weekday,Nakamozu,10:43:00,Minoh-Kayano
weekday,Nakamozu,10:51:00,Minoh-Kayano
weekday,Nakamozu,10:59:00,Minoh-Kayano
weekday,Nakamozu,11:07:00,Minoh-Kayano
weekday,Nakamozu,11:15:00,Minoh-Kayano
weekday,Nakamozu,11:23:00,Minoh-Kayano
weekday,Nakamozu,11:31:00,Minoh-Kayano
weekday,Nakamozu,11:39:00,Minoh-Kayano
weekday,Nakamozu,11:47:00,Minoh-Kayano
weekday,Nakamozu,11:55:00,Minoh-Kayano
weekday,Nakamozu,12:03:00,Minoh-Kayano
weekday,Nakamozu,12:11:00,Minoh-Kayano
weekday,Nakamozu,12:19:00,Minoh-Kayano
weekday,Nakamozu,12:27:00,Minoh-Kayano
weekday,Nakamozu,12:35:00,Minoh-Kayano
weekday,Nakamozu,12:43:00,Minoh-Kayano
weekday,Nakamozu,12:51:00,Minoh-Kayano
weekday,Nakamozu,12:59:00,Minoh-Kayano
weekday,Nakamozu,13:07:00,Minoh-Kayano
weekday,Nakamozu,13:15:00,Minoh-Kayano
weekday,Nakamozu,13:23:00,Minoh-Kayano
weekday,Nakamozu,13:31:00,Minoh-Kayano
weekday,Nakamozu,13:39:00,Minoh-Kayano
weekday,Nakamozu,13:47:00,Minoh-Kayano
weekday,Nakamozu,13:55:00,Minoh-Kayano
weekday,Nakamozu,14:03:00,Minoh-Kayano
weekday,Nakamozu,14:11:00,Minoh-Kayano
weekday,Nakamozu,14:19:00,Minoh-Kayano
weekday,Nakamozu,14:27:00,Minoh-Kayano
weekday,Nakamozu,14:35:00,Minoh-Kayano
weekday,Nakamozu,14:43:00,Minoh-Kayano
weekday,Nakamozu,14:51:00,Minoh-Kayano
weekday,Nakamozu,14:59:00,Minoh-Kayano
weekday,Nakamozu,15:07:00,Minoh-Kayano
weekday,Nakamozu,15:15:00,Minoh-Kayano
weekday,Nakamozu,15:23:00,Minoh-Kayano
