train_time,passenger_count_total,passenger_count_avg_per_day
5:04:00,1905,90.71428571428571
5:14:00,807,38.42857142857143
5:24:00,962,45.80952380952381
5:34:00,3944,187.8095238095238
5:43:00,3110,148.0952380952381
5:52:00,3336,158.85714285714286
6:02:00,2867,136.52380952380952
6:10:00,5894,280.6666666666667
6:17:00,3948,188.0
6:25:00,5313,253.0
6:34:00,8894,423.5238095238095
6:37:00,1913,91.0952380952381
6:42:00,9824,467.8095238095238
6:46:00,5203,247.76190476190476
6:51:00,5755,274.04761904761904
6:55:00,9967,474.6190476190476
7:00:00,7307,347.95238095238096
7:04:00,8730,415.7142857142857
7:09:00,16116,767.4285714285714
7:13:00,5860,279.04761904761904
7:18:00,8082,384.85714285714283
7:22:00,15914,757.8095238095239
7:27:00,14030,668.0952380952381
7:31:00,16207,771.7619047619048
7:36:00,10496,499.8095238095238
7:40:00,17729,844.2380952380952
7:45:00,10675,508.3333333333333
7:49:00,20405,971.6666666666666
7:54:00,13048,621.3333333333334
7:58:00,13415,638.8095238095239
8:03:00,19345,921.1904761904761
8:07:00,9880,470.4761904761905
8:12:00,14684,699.2380952380952
8:16:00,5219,248.52380952380952
8:21:00,11526,548.8571428571429
8:25:00,7334,349.23809523809524
8:30:00,10042,478.1904761904762
8:35:00,5755,274.04761904761904
8:40:00,8896,423.6190476190476
8:44:00,6362,302.95238095238096
8:53:00,9777,465.57142857142856
8:57:00,4457,212.23809523809524
9:02:00,6511,310.04761904761904
9:09:00,5137,244.61904761904762
9:14:00,8625,410.7142857142857
9:18:00,2366,112.66666666666667
9:23:00,2569,122.33333333333333
9:32:00,7392,352.0
9:36:00,2910,138.57142857142858
9:40:00,3047,145.0952380952381
9:47:00,3353,159.66666666666666
9:55:00,3107,147.95238095238096
10:03:00,5062,241.04761904761904
10:11:00,4072,193.9047619047619
10:15:00,2509,119.47619047619048
10:19:00,1924,91.61904761904762
10:27:00,2570,122.38095238095238
10:35:00,3709,176.61904761904762
10:43:00,3413,162.52380952380952
10:51:00,3557,169.38095238095238
10:59:00,2099,99.95238095238095
11:07:00,3050,145.23809523809524
11:15:00,2923,139.1904761904762
11:23:00,3459,164.71428571428572
11:31:00,1740,82.85714285714286
11:39:00,3841,182.9047619047619
11:47:00,2083,99.19047619047619
11:55:00,3625,172.61904761904762
12:03:00,1990,94.76190476190476
12:11:00,3869,184.23809523809524
12:19:00,2902,138.1904761904762
12:27:00,2566,122.19047619047619
12:35:00,2702,128.66666666666666
12:43:00,2684,127.80952380952381
12:51:00,2590,123.33333333333333
12:59:00,1945,92.61904761904762
13:07:00,2555,121.66666666666667
13:15:00,1892,90.0952380952381
13:23:00,2737,130.33333333333334
13:31:00,1523,72.52380952380952
13:39:00,2605,124.04761904761905
13:47:00,1504,71.61904761904762
13:55:00,2159,102.80952380952381
14:03:00,1195,56.904761904761905
14:11:00,2449,116.61904761904762
14:19:00,1783,84.9047619047619
14:27:00,1611,76.71428571428571
14:35:00,1703,81.0952380952381
14:43:00,1783,84.9047619047619
14:51:00,2098,99.9047619047619
14:59:00,1789,85.19047619047619
15:07:00,2822,134.38095238095238
15:15:00,2487,118.42857142857143
15:23:00,2619,124.71428571428571
15:31:00,1698,80.85714285714286
15:38:00,2640,125.71428571428571
15:45:00,1461,69.57142857142857
15:52:00,2268,108.0
15:55:00,754,35.904761904761905
16:03:00,1622,77.23809523809524
16:06:00,1666,79.33333333333333
16:10:00,1367,65.0952380952381
16:15:00,1215,57.857142857142854
