train_time,passenger_count
5:04:00,1905
5:14:00,807
5:24:00,962
5:34:00,3944
5:43:00,3110
5:52:00,3336
6:02:00,2867
6:10:00,5894
6:17:00,3948
6:25:00,5313
6:34:00,8894
6:37:00,1913
6:42:00,9824
6:46:00,5203
6:51:00,5755
6:55:00,9967
7:00:00,7307
7:04:00,8730
7:09:00,16116
7:13:00,5860
7:18:00,8082
7:22:00,15914
7:27:00,14030
7:31:00,16207
7:36:00,10496
7:40:00,17729
7:45:00,10675
7:49:00,20405
7:54:00,13048
7:58:00,13415
8:03:00,19345
8:07:00,9880
8:12:00,14684
8:16:00,5219
8:21:00,11526
8:25:00,7334
8:30:00,10042
8:35:00,5755
8:40:00,8896
8:44:00,6362
8:53:00,9777
8:57:00,4457
9:02:00,6511
9:09:00,5137
9:14:00,8625
9:18:00,2366
9:23:00,2569
9:32:00,7392
9:36:00,2910
9:40:00,3047
9:47:00,3353
9:55:00,3107
10:03:00,5062
10:11:00,4072
10:15:00,2509
10:19:00,1924
10:27:00,2570
10:35:00,3709
10:43:00,3413
10:51:00,3557
10:59:00,2099
11:07:00,3050
11:15:00,2923
11:23:00,3459
11:31:00,1740
11:39:00,3841
11:47:00,2083
11:55:00,3625
12:03:00,1990
12:11:00,3869
12:19:00,2902
12:27:00,2566
12:35:00,2702
12:43:00,2684
12:51:00,2590
12:59:00,1945
13:07:00,2555
13:15:00,1892
13:23:00,2737
13:31:00,1523
13:39:00,2605
13:47:00,1504
13:55:00,2159
14:03:00,1195
14:11:00,2449
14:19:00,1783
14:27:00,1611
14:35:00,1703
14:43:00,1783
14:51:00,2098
14:59:00,1789
15:07:00,2822
15:15:00,2487
15:23:00,2619
15:31:00,1698
15:38:00,2640
15:45:00,1461
15:52:00,2268
15:55:00,754
16:03:00,1622
16:06:00,1666
16:10:00,1367
16:15:00,1215
16:20:00,2056
16:26:00,2129
16:31:00,1657
16:36:00,2004
16:41:00,2356
16:46:00,2260
16:51:00,2004
16:56:00,3474
17:00:00,1611
17:06:00,3235
17:11:00,2214
17:16:00,2639
17:21:00,2540
17:26:00,2634
17:31:00,3305
17:36:00,2751
17:41:00,3293
17:46:00,2370
17:51:00,3296
17:56:00,2545
18:01:00,1929
18:06:00,4131
18:11:00,2926
18:16:00,3496
18:21:00,2152
18:26:00,3833
18:31:00,2966
18:36:00,3080
18:42:00,2792
18:49:00,3851
18:56:00,3431
19:02:00,1795
19:08:00,2880
19:15:00,2958
19:21:00,2392
19:27:00,2489
19:32:00,1859
19:36:00,1183
19:40:00,1330
19:46:00,2074
19:51:00,1142
19:55:00,2019
20:02:00,1475
20:05:00,1096
20:12:00,1782
20:20:00,2312
20:28:00,1766
20:36:00,1971
20:40:00,919
20:44:00,1049
20:53:00,1468
21:01:00,1810
21:09:00,1524
21:17:00,1322
21:25:00,1337
21:30:00,1079
21:33:00,461
21:43:00,1624
21:53:00,1427
22:03:00,1346
22:13:00,1219
22:23:00,1282
22:33:00,1116
22:43:00,948
22:48:00,514
22:58:00,678
23:08:00,842
23:22:00,936
23:32:00,486
23:45:00,465
